City_name,area_code,All-available_cars,no_cars ,Perc_no_car,sum_all_in_area
Leeds,E00056750,141,35,24.8,158
Leeds,E00056751,110,14,12.7,162
Leeds,E00056752,200,31,15.5,249
Leeds,E00056753,141,66,46.8,84
Leeds,E00056754,131,28,21.4,141
Leeds,E00056755,150,28,18.7,179
Leeds,E00056756,126,36,28.6,128
Leeds,E00056757,120,14,11.7,174
Leeds,E00056758,131,13,9.9,192
Leeds,E00056759,104,5,4.8,162
Leeds,E00056760,115,20,17.4,146
Leeds,E00056761,119,14,11.8,153
Leeds,E00056762,184,12,6.5,280
Leeds,E00056763,138,11,8.0,208
Leeds,E00056764,139,5,3.6,251
Leeds,E00056765,156,17,10.9,219
Leeds,E00056766,153,58,37.9,126
Leeds,E00056767,119,14,11.8,165
Leeds,E00056768,123,28,22.8,124
Leeds,E00056769,120,42,35.0,102
Leeds,E00056770,126,20,15.9,173
Leeds,E00056771,131,30,22.9,151
Leeds,E00056772,151,12,7.9,225
Leeds,E00056773,123,14,11.4,182
Leeds,E00056774,98,2,2.0,140
Leeds,E00056775,119,15,12.6,159
Leeds,E00056776,141,55,39.0,119
Leeds,E00056777,123,26,21.1,137
Leeds,E00056778,42,0,0.0,84
Leeds,E00056779,138,16,11.6,205
Leeds,E00056780,76,2,2.6,124
Leeds,E00056781,129,15,11.6,172
Leeds,E00056782,134,25,18.7,180
Leeds,E00056783,117,19,16.2,145
Leeds,E00056784,116,31,26.7,129
Leeds,E00056786,150,46,30.7,128
Leeds,E00056787,90,24,26.7,100
Leeds,E00056788,109,40,36.7,87
Leeds,E00056789,164,72,43.9,123
Leeds,E00056790,183,27,14.8,232
Leeds,E00056792,127,37,29.1,133
Leeds,E00056793,122,11,9.0,207
Leeds,E00056794,112,5,4.5,216
Leeds,E00056795,138,57,41.3,112
Leeds,E00056796,117,46,39.3,107
Leeds,E00056797,112,21,18.8,145
Leeds,E00056798,108,13,12.0,131
Leeds,E00056799,118,32,27.1,118
Leeds,E00056800,100,27,27.0,110
Leeds,E00056801,108,19,17.6,133
Leeds,E00056802,122,2,1.6,231
Leeds,E00056803,115,16,13.9,150
Leeds,E00056804,114,11,9.6,176
Leeds,E00056805,132,34,25.8,147
Leeds,E00056806,115,42,36.5,115
Leeds,E00056807,108,9,8.3,162
Leeds,E00056808,97,3,3.1,168
Leeds,E00056809,138,45,32.6,130
Leeds,E00056810,108,23,21.3,139
Leeds,E00056811,127,6,4.7,229
Leeds,E00056812,147,47,32.0,148
Leeds,E00056813,114,4,3.5,210
Leeds,E00056814,116,31,26.7,122
Leeds,E00056815,132,11,8.3,189
Leeds,E00056816,148,53,35.8,143
Leeds,E00056817,138,14,10.1,204
Leeds,E00056818,98,11,11.2,121
Leeds,E00056819,139,76,54.7,74
Leeds,E00056820,113,18,15.9,143
Leeds,E00056821,96,14,14.6,127
Leeds,E00056822,148,11,7.4,250
Leeds,E00056823,136,29,21.3,184
Leeds,E00056825,109,17,15.6,160
Leeds,E00056827,93,31,33.3,91
Leeds,E00056828,94,14,14.9,128
Leeds,E00056829,108,22,20.4,138
Leeds,E00056830,124,54,43.5,92
Leeds,E00056831,108,15,13.9,136
Leeds,E00056832,123,21,17.1,165
Leeds,E00056833,95,8,8.4,139
Leeds,E00056834,169,12,7.1,260
Leeds,E00056835,136,15,11.0,199
Leeds,E00056836,121,19,15.7,158
Leeds,E00056837,99,7,7.1,140
Leeds,E00056838,118,15,12.7,165
Leeds,E00056839,158,68,43.0,114
Leeds,E00056840,148,89,60.1,74
Leeds,E00056841,124,22,17.7,136
Leeds,E00056842,125,16,12.8,161
Leeds,E00056843,142,19,13.4,180
Leeds,E00056845,117,52,44.4,92
Leeds,E00056846,167,105,62.9,89
Leeds,E00056847,159,77,48.4,100
Leeds,E00056848,112,68,60.7,60
Leeds,E00056849,132,85,64.4,59
Leeds,E00056850,116,59,50.9,74
Leeds,E00056851,133,51,38.3,125
Leeds,E00056852,197,78,39.6,153
Leeds,E00056853,128,47,36.7,114
Leeds,E00056854,111,34,30.6,97
Leeds,E00056855,106,47,44.3,69
Leeds,E00056856,110,43,39.1,94
Leeds,E00056858,104,23,22.1,97
Leeds,E00056859,100,61,61.0,49
Leeds,E00056861,121,30,24.8,133
Leeds,E00056862,194,48,24.7,189
Leeds,E00056863,121,38,31.4,118
Leeds,E00056864,132,25,18.9,159
Leeds,E00056865,131,33,25.2,146
Leeds,E00056866,122,18,14.8,147
Leeds,E00056867,118,22,18.6,149
Leeds,E00056868,133,28,21.1,152
Leeds,E00056869,133,28,21.1,157
Leeds,E00056871,103,52,50.5,65
Leeds,E00056873,122,16,13.1,161
Leeds,E00056874,220,109,49.5,133
Leeds,E00056875,117,62,53.0,64
Leeds,E00056876,237,149,62.9,99
Leeds,E00056877,112,37,33.0,117
Leeds,E00056878,121,26,21.5,140
Leeds,E00056879,123,48,39.0,96
Leeds,E00056880,120,46,38.3,101
Leeds,E00056881,109,74,67.9,37
Leeds,E00056882,150,53,35.3,116
Leeds,E00056883,175,129,73.7,52
Leeds,E00056884,142,45,31.7,132
Leeds,E00056885,108,57,52.8,63
Leeds,E00056886,101,78,77.2,25
Leeds,E00056887,157,12,7.6,241
Leeds,E00056888,119,70,58.8,65
Leeds,E00056889,144,81,56.2,84
Leeds,E00056890,123,20,16.3,153
Leeds,E00056891,102,55,53.9,54
Leeds,E00056892,111,62,55.9,59
Leeds,E00056893,149,76,51.0,89
Leeds,E00056894,157,72,45.9,130
Leeds,E00056895,116,66,56.9,58
Leeds,E00056897,99,44,44.4,64
Leeds,E00056898,123,54,43.9,84
Leeds,E00056899,143,78,54.5,77
Leeds,E00056900,106,70,66.0,49
Leeds,E00056901,132,92,69.7,50
Leeds,E00056902,129,92,71.3,38
Leeds,E00056903,179,89,49.7,134
Leeds,E00056904,97,19,19.6,117
Leeds,E00056905,128,43,33.6,113
Leeds,E00056906,154,95,61.7,84
Leeds,E00056907,126,77,61.1,65
Leeds,E00056908,101,51,50.5,62
Leeds,E00056909,163,27,16.6,185
Leeds,E00056910,107,60,56.1,57
Leeds,E00056911,107,56,52.3,61
Leeds,E00056912,132,35,26.5,136
Leeds,E00056913,135,18,13.3,192
Leeds,E00056914,131,27,20.6,138
Leeds,E00056915,123,8,6.5,189
Leeds,E00056916,98,65,66.3,50
Leeds,E00056917,125,13,10.4,164
Leeds,E00056918,136,7,5.1,214
Leeds,E00056919,120,15,12.5,156
Leeds,E00056920,144,19,13.2,192
Leeds,E00056921,135,9,6.7,225
Leeds,E00056922,124,22,17.7,170
Leeds,E00056923,127,17,13.4,175
Leeds,E00056924,128,28,21.9,153
Leeds,E00056925,123,33,26.8,120
Leeds,E00056926,118,56,47.5,74
Leeds,E00056927,162,19,11.7,229
Leeds,E00056928,122,16,13.1,163
Leeds,E00056929,135,12,8.9,195
Leeds,E00056930,123,54,43.9,88
Leeds,E00056931,122,6,4.9,194
Leeds,E00056932,121,9,7.4,182
Leeds,E00056933,125,21,16.8,157
Leeds,E00056934,112,22,19.6,130
Leeds,E00056935,101,27,26.7,106
Leeds,E00056936,119,26,21.8,148
Leeds,E00056937,82,52,63.4,37
Leeds,E00056938,126,33,26.2,140
Leeds,E00056939,143,15,10.5,191
