City_name,area_code,All_usual_residents,All_usual_perc,Area_hectares
Leeds,E00056750,279,100.0,5.26
Leeds,E00056751,296,100.0,12.57
Leeds,E00056752,407,100.0,20.38
Leeds,E00056753,246,100.0,8.19
Leeds,E00056754,272,100.0,2.83
Leeds,E00056755,312,100.0,10.44
Leeds,E00056756,371,100.0,4.28
Leeds,E00056757,292,100.0,13.41
Leeds,E00056758,342,100.0,9.10
Leeds,E00056759,255,100.0,3.12
Leeds,E00056760,278,100.0,4.79
Leeds,E00056761,257,100.0,9.14
Leeds,E00056762,482,100.0,32.84
Leeds,E00056763,336,100.0,45.60
Leeds,E00056764,371,100.0,9.38
Leeds,E00056765,342,100.0,10.29
Leeds,E00056766,270,100.0,14.13
Leeds,E00056767,259,100.0,10.97
Leeds,E00056768,271,100.0,11.42
Leeds,E00056769,297,100.0,9.97
Leeds,E00056770,303,100.0,34.87
Leeds,E00056771,281,100.0,4.36
Leeds,E00056772,356,100.0,14.33
Leeds,E00056773,310,100.0,17.79
Leeds,E00056774,177,100.0,582.53
Leeds,E00056775,279,100.0,7.91
Leeds,E00056776,295,100.0,5.83
Leeds,E00056777,261,100.0,4.23
Leeds,E00056778,106,100.0,287.49
Leeds,E00056779,330,100.0,21.69
Leeds,E00056780,154,100.0,87.99
Leeds,E00056781,314,100.0,4.47
Leeds,E00056782,284,100.0,13.91
Leeds,E00056783,299,100.0,2.90
Leeds,E00056784,235,100.0,3.01
Leeds,E00056786,270,100.0,20.94
Leeds,E00056787,203,100.0,8.63
Leeds,E00056788,266,100.0,5.27
Leeds,E00056789,326,100.0,9.44
Leeds,E00056790,405,100.0,9.05
Leeds,E00056792,331,100.0,4.72
Leeds,E00056793,304,100.0,13.70
Leeds,E00056794,291,100.0,11.40
Leeds,E00056795,294,100.0,4.02
Leeds,E00056796,256,100.0,15.88
Leeds,E00056797,262,100.0,3.96
Leeds,E00056798,229,100.0,7.28
Leeds,E00056799,284,100.0,5.43
Leeds,E00056800,289,100.0,7.80
Leeds,E00056801,254,100.0,4.70
Leeds,E00056802,324,100.0,71.78
Leeds,E00056803,275,100.0,4.82
Leeds,E00056804,301,100.0,6.56
Leeds,E00056805,318,100.0,7.34
Leeds,E00056806,239,100.0,4.46
Leeds,E00056807,285,100.0,4.54
Leeds,E00056808,258,100.0,20.33
Leeds,E00056809,270,100.0,3.94
Leeds,E00056810,259,100.0,12.00
Leeds,E00056811,360,100.0,26.88
Leeds,E00056812,299,100.0,39.74
Leeds,E00056813,310,100.0,12.39
Leeds,E00056814,258,100.0,3.66
Leeds,E00056815,296,100.0,8.11
Leeds,E00056816,311,100.0,5.27
Leeds,E00056817,310,100.0,15.51
Leeds,E00056818,196,100.0,2.65
Leeds,E00056819,221,100.0,2.44
Leeds,E00056820,248,100.0,7.57
Leeds,E00056821,211,100.0,6.94
Leeds,E00056822,438,100.0,9.46
Leeds,E00056823,310,100.0,8.90
Leeds,E00056825,232,100.0,5.44
Leeds,E00056827,235,100.0,3.30
Leeds,E00056828,219,100.0,3.15
